epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4625,1.51963,1.74451,1.14827,0.93905,0.95182,0.96665,0.58801,1.29872,0.85866,1.02546,0.000552545,0.000552545,0.000552545
2,48.0039,1.23087,0.88298,1.01428,0.96069,0.97867,0.98376,0.60197,1.27383,0.65672,1.01898,0.00109724,0.00109724,0.00109724
3,70.0309,1.18044,0.74898,0.99647,0.98659,0.99125,0.98928,0.67505,1.05509,0.58607,0.94503,0.00163093,0.00163093,0.00163093
4,92.0658,1.1779,0.70222,0.99719,0.97677,0.98326,0.99026,0.6409,1.15989,0.59197,0.97124,0.00161749,0.00161749,0.00161749
5,114.035,1.14753,0.65898,0.99144,0.99387,0.99101,0.99064,0.66244,1.09726,0.55671,0.95658,0.00160099,0.00160099,0.00160099
6,135.791,1.10547,0.63071,0.97526,0.99196,0.99121,0.99073,0.67918,1.07808,0.5316,0.94309,0.00158448,0.00158448,0.00158448
7,157.735,1.0919,0.60641,0.96842,0.97202,0.97467,0.9782,0.6382,1.16208,0.54966,0.96384,0.00156798,0.00156798,0.00156798
8,179.625,1.07397,0.59005,0.96293,0.98931,0.985,0.98959,0.69593,1.10183,0.52946,0.95048,0.00155148,0.00155148,0.00155148
9,201.441,1.05844,0.58015,0.95816,0.98078,0.9875,0.99101,0.65922,1.14003,0.62825,0.96059,0.00153497,0.00153497,0.00153497
10,223.557,1.06681,0.56871,0.96375,0.98352,0.9825,0.98842,0.68732,1.0634,0.50451,0.93639,0.00151847,0.00151847,0.00151847
11,245.375,1.05671,0.55731,0.96089,0.97039,0.9825,0.98479,0.67043,1.10893,0.51308,0.94863,0.00150197,0.00150197,0.00150197
12,266.805,1.04489,0.55446,0.95252,0.98896,0.98816,0.99329,0.70566,0.99454,0.48166,0.91729,0.00148546,0.00148546,0.00148546
13,288.739,1.01993,0.53627,0.94437,0.99305,0.99,0.99128,0.69321,1.08157,0.47879,0.93709,0.00146896,0.00146896,0.00146896
14,310.278,1.0287,0.53377,0.94976,0.98574,0.98625,0.99005,0.72225,0.94564,0.46035,0.91565,0.00145246,0.00145246,0.00145246
15,331.995,1.03306,0.53501,0.94976,0.99053,0.99125,0.99188,0.70342,1.06255,0.48048,0.9407,0.00143595,0.00143595,0.00143595
16,353.601,1.01714,0.53113,0.94666,0.99036,0.99125,0.99143,0.68395,1.16013,0.50798,0.95709,0.00141945,0.00141945,0.00141945
17,375.469,1.01623,0.52816,0.94545,0.98944,0.98625,0.99207,0.70582,1.0181,0.45707,0.92283,0.00140295,0.00140295,0.00140295
18,396.58,1.00849,0.51972,0.94137,0.99571,0.99198,0.99458,0.70006,1.01598,0.46235,0.92822,0.00138644,0.00138644,0.00138644
19,418.369,1.01404,0.52707,0.94766,0.99178,0.9925,0.99419,0.68588,1.11181,0.46515,0.94869,0.00136994,0.00136994,0.00136994
20,440.15,0.99708,0.51207,0.93975,0.99288,0.99,0.99307,0.70499,1.01221,0.44123,0.92873,0.00135344,0.00135344,0.00135344
21,461.675,0.99469,0.50846,0.9417,0.99302,0.98875,0.99155,0.70558,1.06812,0.45713,0.9403,0.00133693,0.00133693,0.00133693
22,483.301,0.99178,0.50716,0.93831,0.98341,0.98968,0.99394,0.7112,1.0257,0.44076,0.92326,0.00132043,0.00132043,0.00132043
23,504.873,0.99064,0.50001,0.9402,0.993,0.99147,0.99405,0.71317,1.05652,0.46042,0.93382,0.00130393,0.00130393,0.00130393
